P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC,SCAN
BY01,AX001,BY01_AX_1,0,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX002,BY01_AX_1,2,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX003,BY01_AX_1,4,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX004,BY01_AX_1,6,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX005,BY01_AX_1,8,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX006,BY01_AX_1,10,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX007,BY01_AX_1,12,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX008,BY01_AX_1,14,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX009,BY01_AX_1,16,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX010,BY01_AX_1,18,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX011,BY01_AX_1,20,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX012,BY01_AX_1,22,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX013,BY01_AX_1,24,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX014,BY01_AX_1,26,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX015,BY01_AX_1,28,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX016,BY01_AX_1,30,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX017,BY01_AX_1,32,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX018,BY01_AX_1,34,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX019,BY01_AX_1,36,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX020,BY01_AX_1,38,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX021,BY01_AX_1,40,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX022,BY01_AX_1,42,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX023,BY01_AX_1,44,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX024,BY01_AX_1,46,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX025,BY01_AX_1,48,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX026,BY01_AX_1,50,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX027,BY01_AX_1,52,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX028,BY01_AX_1,54,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX029,BY01_AX_1,56,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX030,BY01_AX_1,58,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX031,BY01_AX_1,60,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX032,BY01_AX_1,62,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX033,BY01_AX_1,64,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX034,BY01_AX_1,66,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX035,BY01_AX_1,68,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX036,BY01_AX_1,70,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX037,BY01_AX_1,72,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX038,BY01_AX_1,74,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX039,BY01_AX_1,76,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX040,BY01_AX_1,78,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX041,BY01_AX_1,80,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX042,BY01_AX_1,82,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX043,BY01_AX_1,84,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX044,BY01_AX_1,86,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX045,BY01_AX_1,88,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX046,BY01_AX_1,90,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX047,BY01_AX_1,92,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX048,BY01_AX_1,94,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX049,BY01_AX_1,96,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY01,AX050,BY01_AX_1,98,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
