P,R,PORT,OFFSET,ZNAM,ONAM,ZSV,OSV,SCAN
BY01,DX051,BY01_DX_2,0,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX052,BY01_DX_2,1,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX053,BY01_DX_2,2,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX054,BY01_DX_2,3,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX055,BY01_DX_2,4,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX056,BY01_DX_2,5,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX057,BY01_DX_2,6,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX058,BY01_DX_2,7,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX059,BY01_DX_2,8,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX060,BY01_DX_2,9,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX061,BY01_DX_2,10,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX062,BY01_DX_2,11,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX063,BY01_DX_2,12,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX064,BY01_DX_2,13,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX065,BY01_DX_2,14,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX066,BY01_DX_2,15,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX067,BY01_DX_2,16,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX068,BY01_DX_2,17,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX069,BY01_DX_2,18,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX070,BY01_DX_2,19,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX071,BY01_DX_2,20,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX072,BY01_DX_2,21,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX073,BY01_DX_2,22,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX074,BY01_DX_2,23,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX075,BY01_DX_2,24,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX076,BY01_DX_2,25,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX077,BY01_DX_2,26,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX078,BY01_DX_2,27,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX079,BY01_DX_2,28,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX080,BY01_DX_2,29,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX081,BY01_DX_2,30,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX082,BY01_DX_2,31,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX083,BY01_DX_2,32,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX084,BY01_DX_2,33,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX085,BY01_DX_2,34,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX086,BY01_DX_2,35,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX087,BY01_DX_2,36,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX088,BY01_DX_2,37,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX089,BY01_DX_2,38,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX090,BY01_DX_2,39,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX091,BY01_DX_2,40,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX092,BY01_DX_2,41,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX093,BY01_DX_2,42,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX094,BY01_DX_2,43,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX095,BY01_DX_2,44,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX096,BY01_DX_2,45,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX097,BY01_DX_2,46,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX098,BY01_DX_2,47,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX099,BY01_DX_2,48,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX100,BY01_DX_2,49,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
