P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC
BY03,AY001,BY03_AY_1,0,FLOAT32_BE,-1e6,1e6,3
BY03,AY002,BY03_AY_1,2,FLOAT32_BE,-1e6,1e6,3
BY03,AY003,BY03_AY_1,4,FLOAT32_BE,-1e6,1e6,3
BY03,AY004,BY03_AY_1,6,FLOAT32_BE,-1e6,1e6,3
BY03,AY005,BY03_AY_1,8,FLOAT32_BE,-1e6,1e6,3
BY03,AY006,BY03_AY_1,10,FLOAT32_BE,-1e6,1e6,3
BY03,AY007,BY03_AY_1,12,FLOAT32_BE,-1e6,1e6,3
BY03,AY008,BY03_AY_1,14,FLOAT32_BE,-1e6,1e6,3
BY03,AY009,BY03_AY_1,16,FLOAT32_BE,-1e6,1e6,3
BY03,AY010,BY03_AY_1,18,FLOAT32_BE,-1e6,1e6,3
BY03,AY011,BY03_AY_1,20,FLOAT32_BE,-1e6,1e6,3
BY03,AY012,BY03_AY_1,22,FLOAT32_BE,-1e6,1e6,3
BY03,AY013,BY03_AY_1,24,FLOAT32_BE,-1e6,1e6,3
BY03,AY014,BY03_AY_1,26,FLOAT32_BE,-1e6,1e6,3
BY03,AY015,BY03_AY_1,28,FLOAT32_BE,-1e6,1e6,3
BY03,AY016,BY03_AY_1,30,FLOAT32_BE,-1e6,1e6,3
BY03,AY017,BY03_AY_1,32,FLOAT32_BE,-1e6,1e6,3
BY03,AY018,BY03_AY_1,34,FLOAT32_BE,-1e6,1e6,3
BY03,AY019,BY03_AY_1,36,FLOAT32_BE,-1e6,1e6,3
BY03,AY020,BY03_AY_1,38,FLOAT32_BE,-1e6,1e6,3
BY03,AY021,BY03_AY_1,40,FLOAT32_BE,-1e6,1e6,3
BY03,AY022,BY03_AY_1,42,FLOAT32_BE,-1e6,1e6,3
BY03,AY023,BY03_AY_1,44,FLOAT32_BE,-1e6,1e6,3
BY03,AY024,BY03_AY_1,46,FLOAT32_BE,-1e6,1e6,3
BY03,AY025,BY03_AY_1,48,FLOAT32_BE,-1e6,1e6,3
BY03,AY026,BY03_AY_1,50,FLOAT32_BE,-1e6,1e6,3
BY03,AY027,BY03_AY_1,52,FLOAT32_BE,-1e6,1e6,3
BY03,AY028,BY03_AY_1,54,FLOAT32_BE,-1e6,1e6,3
BY03,AY029,BY03_AY_1,56,FLOAT32_BE,-1e6,1e6,3
BY03,AY030,BY03_AY_1,58,FLOAT32_BE,-1e6,1e6,3
BY03,AY031,BY03_AY_1,60,FLOAT32_BE,-1e6,1e6,3
BY03,AY032,BY03_AY_1,62,FLOAT32_BE,-1e6,1e6,3
BY03,AY033,BY03_AY_1,64,FLOAT32_BE,-1e6,1e6,3
BY03,AY034,BY03_AY_1,66,FLOAT32_BE,-1e6,1e6,3
BY03,AY035,BY03_AY_1,68,FLOAT32_BE,-1e6,1e6,3
BY03,AY036,BY03_AY_1,70,FLOAT32_BE,-1e6,1e6,3
BY03,AY037,BY03_AY_1,72,FLOAT32_BE,-1e6,1e6,3
BY03,AY038,BY03_AY_1,74,FLOAT32_BE,-1e6,1e6,3
BY03,AY039,BY03_AY_1,76,FLOAT32_BE,-1e6,1e6,3
BY03,AY040,BY03_AY_1,78,FLOAT32_BE,-1e6,1e6,3
BY03,AY041,BY03_AY_1,80,FLOAT32_BE,-1e6,1e6,3
BY03,AY042,BY03_AY_1,82,FLOAT32_BE,-1e6,1e6,3
BY03,AY043,BY03_AY_1,84,FLOAT32_BE,-1e6,1e6,3
BY03,AY044,BY03_AY_1,86,FLOAT32_BE,-1e6,1e6,3
BY03,AY045,BY03_AY_1,88,FLOAT32_BE,-1e6,1e6,3
BY03,AY046,BY03_AY_1,90,FLOAT32_BE,-1e6,1e6,3
BY03,AY047,BY03_AY_1,92,FLOAT32_BE,-1e6,1e6,3
BY03,AY048,BY03_AY_1,94,FLOAT32_BE,-1e6,1e6,3
BY03,AY049,BY03_AY_1,96,FLOAT32_BE,-1e6,1e6,3
BY03,AY050,BY03_AY_1,98,FLOAT32_BE,-1e6,1e6,3
